,Company(Maker),Specific_Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad Bean_Origin,Quality,Review_Year
23,Acalli,"Chulucanas, El Platanal",1462,2015,70.0,United States,3.75,Missing,Peru,Above Average,10.0
24,Acalli,"Tumbes, Norandino",1470,2015,70.0,United States,3.75,Criollo,Peru,Above Average,10.0
25,Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,Below Average,6.0
26,Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,Average,6.0
27,Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,Average,6.0
28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,Average,6.0
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,Below Average,4.0
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador,Average,4.0
31,Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico,Average,4.0
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia,Above Average,6.0
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,Below Average,5.0
34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,Below Average,5.0
35,Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad,Below Average,9.0
36,Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam,Below Average,9.0
37,Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,Average,9.0
38,Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,Below Average,8.0
39,Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,Missing,Peru,Below Average,8.0
40,Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador,Average,12.0
41,Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,Criollo,Nicaragua,Average,12.0
42,Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,Trinitario,Nicaragua,Average,12.0
43,Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,Average,12.0
44,Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,Tanzania,Average,12.0
45,Altus aka Cao Artisan,Momotombo,1728,2016,60.0,United States,2.75,Missing,Nicaragua,Below Average,11.0
46,Altus aka Cao Artisan,Acopagro,1728,2016,60.0,United States,3.0,Missing,Peru,Average,11.0
47,Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,United States,2.5,Missing,Bolivia,Below Average,11.0
48,Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,United States,2.5,Missing,Peru,Below Average,11.0
49,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,United States,2.75,Missing,Ecuador,Below Average,11.0
50,Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,United States,2.5,Missing,Venezuela,Below Average,8.0
51,Altus aka Cao Artisan,Conacado,1125,2013,60.0,United States,3.0,Trinitario,Dominican Republic,Average,8.0
52,Altus aka Cao Artisan,Bolivia,1129,2013,80.0,United States,3.25,Missing,Bolivia,Average,8.0
53,Altus aka Cao Artisan,Bolivia,1133,2013,60.0,United States,3.0,Missing,Bolivia,Average,8.0
54,Altus aka Cao Artisan,Peru,1133,2013,60.0,United States,3.25,Missing,Peru,Average,8.0
55,Amano,Morobe,725,2011,70.0,United States,4.0,Missing,Papua New Guinea,Above Average,6.0
56,Amano,Dos Rios,470,2010,70.0,United States,3.75,Missing,Dominican Republic,Above Average,5.0
57,Amano,Guayas,470,2010,70.0,United States,4.0,Missing,Ecuador,Above Average,5.0
58,Amano,Chuao,544,2010,70.0,United States,3.0,Trinitario,Venezuela,Average,5.0
59,Amano,Montanya,363,2009,70.0,United States,3.0,Missing,Venezuela,Average,4.0
60,Amano,"Bali, Jembrana",304,2008,70.0,United States,2.75,Missing,Indonesia,Below Average,3.0
61,Amano,Madagascar,129,2007,70.0,United States,3.5,Trinitario,Madagascar,Average,2.0
62,Amano,Cuyagua,147,2007,70.0,United States,3.0,Missing,Venezuela,Average,2.0
63,Amano,Ocumare,175,2007,70.0,United States,3.75,Criollo,Venezuela,Above Average,2.0
64,Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,Average,4.0
65,Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,Missing,Ecuador,Below Average,4.0
66,Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,Missing,Ecuador,Below Average,4.0
67,Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,Average,4.0
68,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,Missing,Peru,Average,8.0
69,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,Average,8.0
70,Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize,Average,10.0
71,Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,Average,10.0
72,Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,Missing,Dominican Republic,Average,10.0
73,Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,Missing,Papua New Guinea,Average,10.0
74,Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,Missing,Venezuela,Average,10.0
75,Ambrosia,Peru,1498,2015,68.0,Canada,3.5,Missing,Peru,Average,10.0
76,Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,Missing,Peru,Above Average,7.0
77,Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,Above Average,2.0
78,Amedei,Nine,111,2007,75.0,Italy,4.0,Blend,Missing,Above Average,2.0
79,Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela,Above Average,2.0
80,Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador,Average,2.0
81,Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica,Average,2.0
82,Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada,Average,2.0
83,Amedei,Venezuela,123,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela,Above Average,2.0
84,Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,Above Average,2.0
85,Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad,Average,2.0
86,Amedei,Toscano Black,170,2007,63.0,Italy,3.5,Blend,Missing,Average,2.0
87,Amedei,Toscano Black,40,2006,70.0,Italy,5.0,Blend,Missing,Above Average,1.0
88,Amedei,Toscano Black,75,2006,66.0,Italy,4.0,Blend,Missing,Above Average,1.0
89,AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,Average,8.0
90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,Below Average,5.0
91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,Above Average,5.0
92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,Above Average,5.0
93,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,Above Average,5.0
94,Anahata,Elvesia,1259,2014,75.0,United States,3.0,Missing,Dominican Republic,Average,9.0
95,Animas,Alto Beni,1852,2016,75.0,United States,3.5,Missing,Bolivia,Average,11.0
96,Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,Average,9.0
97,Ara,Chiapas,1379,2014,72.0,France,2.5,Missing,Mexico,Below Average,9.0
98,Ara,Equateur,1379,2014,75.0,France,2.75,Missing,Ecuador,Below Average,9.0
99,Ara,Trincheras,1379,2014,75.0,France,3.0,Missing,Venezuela,Average,9.0
100,Arete,San Juan,1724,2016,70.0,United States,3.5,Trinitario,Trinidad,Average,11.0
101,Arete,Kokoa Kamili,1724,2016,70.0,United States,3.75,Missing,Tanzania,Above Average,11.0
102,Arete,Tien Giang,1900,2016,73.0,United States,3.5,Trinitario,Vietnam,Average,11.0
103,Arete,Hacienda Victoria,1904,2016,70.0,United States,3.25,Missing,Ecuador,Average,11.0
104,Arete,Costa Esmeraldas,1904,2016,70.0,United States,3.25,Missing,Ecuador,Average,11.0
105,Arete,Lachua,1904,2016,70.0,United States,3.5,Missing,Guatemala,Average,11.0
106,Arete,Rugoso,1904,2016,70.0,United States,3.75,Missing,Nicaragua,Above Average,11.0
107,Arete,"La Masica, FHIA",1908,2016,70.0,United States,3.5,Missing,Honduras,Average,11.0
108,Arete,"Coto Brus, Terciopelo",1908,2016,70.0,United States,4.0,Missing,Costa Rica,Above Average,11.0
109,Arete,Phantom,1924,2016,70.0,United States,4.0,Forastero (Nacional),Peru,Above Average,11.0
110,Arete,Elvesia,1928,2016,70.0,United States,3.75,Missing,Dominican Republic,Above Average,11.0
111,Arete,Matasawalevu,1928,2016,70.0,United States,3.25,Missing,Fiji,Average,11.0
112,Arete,Lam Dong,1928,2016,73.0,United States,3.25,Missing,Vietnam,Average,11.0
113,Arete,Fazenda Camboa,1534,2015,70.0,United States,3.5,Missing,Brazil,Average,10.0
114,Arete,Nacional,1534,2015,68.0,United States,3.5,Forastero (Nacional),Peru,Average,10.0
115,Arete,"Puerto Quito, heirloom",1534,2015,70.0,United States,3.75,Forastero (Nacional),Ecuador,Above Average,10.0
116,Arete,Oko Caribe,1598,2015,70.0,United States,3.5,Missing,Dominican Republic,Average,10.0
117,Arete,Maya Mountain,1598,2015,70.0,United States,3.75,Trinitario,Belize,Above Average,10.0
118,Arete,Chuno,1598,2015,70.0,United States,4.0,Criollo,Nicaragua,Above Average,10.0
119,Arete,Chuno,1598,2015,70.0,United States,4.0,Trinitario,Nicaragua,Above Average,10.0
120,Arete,Fazenda Camboa,1602,2015,75.0,United States,2.75,Missing,Brazil,Below Average,10.0
121,Arete,Guatemala,1602,2015,70.0,United States,3.25,Missing,Guatemala,Average,10.0
122,Arete,Camino Verde,1602,2015,75.0,United States,3.5,Missing,Ecuador,Average,10.0
123,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,United Kingdom,3.25,Trinitario,Trinidad,Average,8.0
124,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,United Kingdom,3.75,Missing,Colombia,Above Average,7.0
125,Artisan du Chocolat,Haiti,729,2011,72.0,United Kingdom,4.0,Missing,Haiti,Above Average,6.0
126,Artisan du Chocolat,Panama,745,2011,72.0,United Kingdom,2.75,Missing,Panama,Below Average,6.0
127,Artisan du Chocolat,Venezuela,486,2010,100.0,United Kingdom,1.75,Missing,Venezuela,Below Average,5.0
128,Artisan du Chocolat,Jamaica,531,2010,72.0,United Kingdom,3.75,Trinitario,Jamaica,Above Average,5.0
129,Artisan du Chocolat,Costa Rica,600,2010,72.0,United Kingdom,3.25,Missing,Costa Rica,Average,5.0
130,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,United Kingdom,3.25,Trinitario,Vietnam,Average,5.0
131,Artisan du Chocolat,Bali,600,2010,72.0,United Kingdom,3.5,Missing,Indonesia,Average,5.0
132,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,United Kingdom,2.5,Criollo,Venezuela,Below Average,4.0
133,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,United Kingdom,2.5,Trinitario,Venezuela,Below Average,4.0
134,Artisan du Chocolat,Java,355,2009,72.0,United Kingdom,2.75,Trinitario,Indonesia,Below Average,4.0
135,Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,United Kingdom,1.75,Missing,Brazil,Below Average,4.0
136,Artisan du Chocolat,Madagascar,363,2009,80.0,United Kingdom,3.0,Criollo,Madagascar,Average,4.0
137,Artisan du Chocolat,Madagascar,363,2009,80.0,United Kingdom,3.0,Trinitario,Madagascar,Average,4.0
138,Artisan du Chocolat,Peru,363,2009,75.0,United Kingdom,3.0,Criollo,Peru,Average,4.0
139,Artisan du Chocolat,Dominican Republic,363,2009,72.0,United Kingdom,3.25,Trinitario,Dominican Republic,Average,4.0
140,Artisan du Chocolat,Congo,300,2008,72.0,United Kingdom,3.75,Forastero,Congo,Above Average,3.0
141,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,United Kingdom,2.75,Trinitario,Colombia,Below Average,8.0
142,Askinosie,Mababa,1780,2016,68.0,United States,3.75,Trinitario,Tanzania,Above Average,11.0
143,Askinosie,"Tenende, Uwate",647,2011,72.0,United States,3.75,Trinitario,Tanzania,Above Average,6.0
144,Askinosie,Cortes,661,2011,70.0,United States,3.75,Trinitario,Honduras,Above Average,6.0
145,Askinosie,Davao,331,2009,77.0,United States,3.75,Trinitario,Philippines,Above Average,4.0
146,Askinosie,Xoconusco,141,2007,75.0,United States,2.5,Trinitario,Mexico,Below Average,2.0
147,Askinosie,San Jose del Tambo,175,2007,70.0,United States,3.0,Forastero (Arriba),Ecuador,Average,2.0
148,Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,Missing,Missing,Average,10.0
149,Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,Missing,Papua New Guinea,Average,10.0
150,Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,Average,7.0
151,Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,Missing,Brazil,Below Average,7.0
152,Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,Blend,Missing,Below Average,7.0
153,Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75,Missing,Peru,Below Average,10.0
154,Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5,Missing,Peru,Average,10.0
155,Bar Au Chocolat,Bahia,1554,2015,70.0,United States,3.5,Missing,Brazil,Average,10.0
156,Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,United States,4.0,Forastero (Nacional),Peru,Above Average,9.0
157,Bar Au Chocolat,Duarte Province,983,2012,70.0,United States,3.25,Missing,Dominican Republic,Average,7.0
158,Bar Au Chocolat,Chiapas,983,2012,70.0,United States,3.5,Missing,Mexico,Average,7.0
159,Bar Au Chocolat,Sambirano,983,2012,70.0,United States,3.75,Trinitario,Madagascar,Above Average,7.0
160,Baravelli's,single estate,955,2012,80.0,Wales,2.75,Missing,Costa Rica,Below Average,7.0
161,Batch,"Dominican Republic, Batch 3",1840,2016,65.0,United States,3.5,Missing,Dominican Republic,Average,11.0
162,Batch,Brazil,1868,2016,70.0,United States,3.75,Missing,Brazil,Above Average,11.0
163,Batch,Ecuador,1880,2016,65.0,United States,3.25,Missing,Ecuador,Average,11.0
164,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,United Kingdom,3.0,Missing,Malaysia,Average,12.0
165,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,United Kingdom,3.25,Missing,Malaysia,Average,12.0
166,Beehive,"Brazil, Batch 20316",1784,2016,80.0,United States,2.75,Missing,Brazil,Below Average,11.0
167,Beehive,"Dominican Republic, Batch 31616",1784,2016,70.0,United States,2.75,Missing,Dominican Republic,Below Average,11.0
168,Beehive,"Ecuador, Batch 31516",1784,2016,70.0,United States,2.75,Missing,Ecuador,Below Average,11.0
169,Beehive,Ecuador,1788,2016,90.0,United States,2.75,Missing,Ecuador,Below Average,11.0
170,Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75,Missing,Costa Rica,Below Average,5.0
171,Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75,Missing,Papua New Guinea,Below Average,5.0
172,Belcolade,Peru,586,2010,64.0,Belgium,2.75,Missing,Peru,Below Average,5.0
173,Belcolade,Ecuador,586,2010,71.0,Belgium,3.5,Missing,Ecuador,Average,5.0
174,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,United States,3.5,Criollo,Tanzania,Average,11.0
175,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,United States,3.5,Trinitario,Tanzania,Average,11.0
176,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70.0,United States,3.25,Missing,Bolivia,Average,11.0
177,Bellflower,"Oko Caribe, Duarte P.",1864,2016,70.0,United States,3.5,Missing,Dominican Republic,Average,11.0
178,Belyzium,"Belize south, low fermentation",1768,2016,83.0,Germany,2.75,Trinitario,Belize,Below Average,11.0
179,Belyzium,Belize south,1768,2016,78.0,Germany,3.0,Trinitario,Belize,Average,11.0
180,Belyzium,Belize south,1768,2016,83.0,Germany,3.5,Trinitario,Belize,Average,11.0
181,Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,Trinitario,Cuba,Average,8.0
182,Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,Average,8.0
183,Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,Average,8.0
184,Benoit Nihant,Rio Peripa H.,1141,2013,73.0,Belgium,4.0,Trinitario,Ecuador,Above Average,8.0
185,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72.0,Belgium,4.0,Trinitario,Indonesia,Above Average,6.0
186,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72.0,Belgium,3.75,Trinitario,Madagascar,Above Average,6.0
187,Bernachon,Nature,797,2012,55.0,France,2.75,Missing,Missing,Below Average,7.0
188,Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,Trinitario,Madagascar,Average,6.0
189,Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,Criollo,Venezuela,Average,6.0
190,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72.0,Switzerland,3.5,Missing,Venezuela,Average,6.0
191,Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0,Missing,Ecuador,Above Average,6.0
192,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70.0,Switzerland,3.25,Trinitario,Venezuela,Average,5.0
193,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela,Average,5.0
194,Beschle (Felchlin),"Java, Grand Cru",508,2010,64.0,Switzerland,3.5,Missing,Indonesia,Average,5.0
195,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72.0,Switzerland,3.5,Missing,Venezuela,Average,5.0
196,Bisou,"Nicaragua, American style",1482,2015,76.0,United States,2.5,Missing,Nicaragua,Below Average,10.0
197,Bisou,"San Andres, American style",1486,2015,76.0,United States,2.5,Missing,Costa Rica,Below Average,10.0
198,Bisou,"San Andres, silk",1486,2015,78.0,United States,2.5,Missing,Costa Rica,Below Average,10.0
199,Bisou,Belize,1486,2015,86.0,United States,3.25,Trinitario,Belize,Average,10.0
200,Bittersweet Origins,Ghana,963,2012,72.0,United States,3.5,Forastero,Ghana,Average,7.0
201,Bittersweet Origins,"Bali, Singaraja",478,2010,75.0,United States,3.25,Missing,Indonesia,Average,5.0
202,Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,United States,3.75,Blend,Dominican Republic,Above Average,5.0
203,Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,United States,3.75,Blend,Bali,Above Average,5.0
204,Bittersweet Origins,"Bali, Singaraja",558,2010,65.0,United States,2.75,Missing,Indonesia,Below Average,5.0
205,Bittersweet Origins,"Sambirano, 2009",565,2010,70.0,United States,3.0,Trinitario,Madagascar,Average,5.0
206,Bittersweet Origins,"Ocumare, prototype",565,2010,78.0,United States,3.0,Criollo,Venezuela,Average,5.0
207,Bittersweet Origins,Puerto Plata,414,2009,75.0,United States,3.0,Missing,Dominican Republic,Average,4.0
208,Bittersweet Origins,Puerto Plata,414,2009,65.0,United States,3.5,Missing,Dominican Republic,Average,4.0
209,Bittersweet Origins,Sambirano,423,2009,75.0,United States,3.25,Trinitario,Madagascar,Average,4.0
210,Bittersweet Origins,Sambirano,431,2009,65.0,United States,3.5,Trinitario,Madagascar,Average,4.0
211,Bittersweet Origins,Sambirano,233,2008,71.0,United States,3.0,Trinitario,Madagascar,Average,3.0
212,Bittersweet Origins,Bocas del Toro,233,2008,75.0,United States,3.5,Missing,Panama,Average,3.0
213,Bittersweet Origins,Puerto Plata,233,2008,68.0,United States,3.75,Missing,Dominican Republic,Above Average,3.0
214,Bittersweet Origins,Ankasa,256,2008,70.0,United States,3.0,Forastero,Ghana,Average,3.0
215,Black Mountain,La Red,256,2008,70.0,United States,2.75,Missing,Dominican Republic,Below Average,3.0
216,Black Mountain,Carenero Superior,256,2008,70.0,United States,2.75,Trinitario,Venezuela,Below Average,3.0
217,Black Mountain,Matiguas,256,2008,70.0,United States,3.0,Missing,Nicaragua,Average,3.0
218,Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,United Kingdom,2.75,Trinitario,Jamaica,Below Average,9.0
219,Blanxart,"Congo, Grand Cru",1046,2013,82.0,Spain,3.5,Forastero,Congo,Average,8.0
220,Blanxart,Organic Dark,322,2009,72.0,Spain,2.75,Missing,Missing,Below Average,4.0
221,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82.0,United States,3.5,Trinitario,Madagascar,Average,11.0
222,Blue Bandana,Lachua,1752,2016,75.0,United States,2.75,Missing,Guatemala,Below Average,11.0
223,Blue Bandana,Kokoa Kamili,1752,2016,75.0,United States,3.5,Missing,Tanzania,Average,11.0
224,Blue Bandana,Zorzal Reserva,1756,2016,75.0,United States,3.0,Missing,Dominican Republic,Average,11.0
225,Blue Bandana,Guatemala,911,2012,70.0,United States,3.5,Missing,Guatemala,Average,7.0
226,Blue Bandana,Madagascar,911,2012,70.0,United States,3.75,Trinitario,Madagascar,Above Average,7.0
227,Bonnat,Selva Maya,1912,2016,75.0,France,3.5,Missing,Mexico,Average,11.0
228,Bonnat,Kaori,1339,2014,75.0,France,4.0,Missing,Brazil,Above Average,9.0
229,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75.0,France,3.25,Missing,Dominican Republic,Average,9.0
230,Bonnat,Surfin,1418,2014,65.0,France,3.75,Missing,Venezula,Above Average,9.0
231,Bonnat,Surfin,1418,2014,65.0,France,3.75,Missing,Africa,Above Average,9.0
232,Bonnat,Surfin,1418,2014,65.0,France,3.75,Missing,Brasil,Above Average,9.0
233,Bonnat,Surfin,1418,2014,65.0,France,3.75,Missing,Peru,Above Average,9.0
234,Bonnat,Surfin,1418,2014,65.0,France,3.75,Missing,Mexico,Above Average,9.0
235,Bonnat,Maragnam,1038,2013,75.0,France,3.5,Missing,Brazil,Average,8.0
236,Bonnat,Gabon,1042,2013,75.0,France,3.25,Missing,Gabon,Average,8.0
237,Bonnat,Cuba,629,2011,75.0,France,3.5,Trinitario,Cuba,Average,6.0
238,Bonnat,"Cusco, Cacao Cusco",629,2011,75.0,France,3.5,Missing,Peru,Average,6.0
239,Bonnat,Piura Blanco,629,2011,75.0,France,3.5,Forastero (Nacional),Peru,Average,6.0
240,Bonnat,Libanio,629,2011,75.0,France,3.75,Missing,Brazil,Above Average,6.0
241,Bonnat,Haiti,629,2011,75.0,France,4.0,Missing,Haiti,Above Average,6.0
242,Bonnat,"Madagascar, 100% criollo",629,2011,75.0,France,4.0,Criollo,Madagascar,Above Average,6.0
243,Bonnat,Juliana,672,2011,75.0,France,3.5,Missing,Brazil,Average,6.0
244,Bonnat,Jamaique,761,2011,75.0,France,3.25,Trinitario,Jamaica,Average,6.0
245,Bonnat,Ivory Coast,331,2009,75.0,France,3.0,Missing,Ivory Coast,Average,4.0
246,Bonnat,"Porcelana, Apotequil",336,2009,75.0,France,2.75,Criollo,Peru,Below Average,4.0
247,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75.0,France,3.0,Criollo,Mexico,Average,4.0
248,Bonnat,"Xoconusco, cacao Real",395,2009,75.0,France,3.0,Criollo,Mexico,Average,4.0
249,Bonnat,"Porcelana, Venezuela",199,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela,Above Average,3.0
250,Bonnat,Equateur,123,2007,75.0,France,2.5,Forastero (Arriba),Ecuador,Below Average,2.0
251,Bonnat,Trinite,24,2006,75.0,France,3.75,Trinitario,Carribean,Above Average,1.0
252,Bonnat,"Ocumare, Puerto Cabello",32,2006,75.0,France,4.0,Missing,Venezuela,Above Average,1.0
253,Bonnat,"Maracaibo, El Rosario",48,2006,75.0,France,4.0,Criollo,Venezuela,Above Average,1.0
254,Bonnat,Madagascar,75,2006,75.0,France,4.0,Trinitario,Madagascar,Above Average,1.0
255,Bonnat,One Hundred,81,2006,100.0,France,1.5,Missing,Missing,Below Average,1.0
